Abbreviation,Season,Team,Skating Speed,Skating Speed,Skating Speed,Skating Speed,Skating Speed,Skating Speed,,Distance (above average),Distance (above average),Distance (above average),,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,,Zone Time,Zone Time,Zone Time,Zone Time,Zone Time,Zone Time,,Zone Time,Zone Time,Zone Time,Zone Time,,Zone Efficiency,Zone Efficiency,Zone Efficiency,Zone Efficiency,Zone Efficiency,,,Shot Locations (BTN),Shot Locations (BTN),Shot Locations (BTN),Shot Locations (Net),Shot Locations (Net),Shot Locations (Net),Shot Locations (Net),Shot Locations (Slot),Shot Locations (Slot),Shot Locations (Slot),Shot Locations (Point),Shot Locations (Point),Shot Locations (Point),Shot Locations (Flank),Shot Locations (Flank),Shot Locations (NZ),,Goal Locations (BTN),Goal Locations (BTN),Goal Locations (BTN),Goal Locations (Net),Goal Locations (Net),Goal Locations (Net),Goal Locations (Net),Goal Locations (Slot),Goal Locations (Slot),Goal Locations (Slot),Goal Locations (Point),Goal Locations (Point),Goal Locations (Point),Goal Locations (Flank),Goal Locations (Flank),Goal Locations (NZ)
Abbreviation,Season,Team,22+,20+,18+,22+ per 60,20+ per 60,18+ per 60,,ES,PP,PK,,Average,90+,80+,70+,90+ per 60,80+ per 60,70+ per 60,90+ %,80+ %,70+ %,,ES OZ%,ES NZ%,ES DZ%,OZ%,PPOZ%,PK DZ%,,OZ time,DZ time,PPOZ time,PKDZ time,,OZE,DZE,ZE%,PPZE,PKZE,,TOI,L,C,R,L,CREASE,FRONT,R,L,C,R,L,C,R,L,R,NZ,,L,C,R,L,CREASE,FRONT,R,L,C,R,L,C,R,L,R,NZ
OTT,21-22,Ottawa Senators,83,1840,7886,1.0,22.2,95.3,,0.2,0.0,0.2,,41,66,416,905,0.8,5.0,10.9,1.5%,9.2%,20.1%,,39.9%,18.2%,41.9%,48.8%,54.3%,59.0%,,1625,1707,214,243,,6.0,6.5,49.0%,15.2,13.9,,4967.0,0,10,1,56,36,664,78,242,228,220,220,159,174,113,130,49,,0,1,0,2,5,113,7,15,26,21,7,3,5,2,8,1
PHI,21-22,Philadelphia Flyers,39,1415,6965,0.5,17.1,84.1,,0.1,-0.1,-0.3,,53,83,470,947,1.0,5.7,11.4,1.8%,10.4%,21.0%,,39.9%,18.5%,41.7%,48.9%,58.9%,59.6%,,1624,1697,244,225,,6.0,6.8,47.7%,11.0,13.7,,4968.8,3,10,1,76,47,622,62,239,254,183,207,216,212,125,106,95,,0,0,0,3,13,98,4,19,30,10,3,7,5,8,7,1
PIT,21-22,Pittsburgh Penguins,86,1936,8076,1.0,23.3,97.1,,-0.0,0.0,-0.1,,50,71,557,1045,0.9,6.7,12.6,1.4%,11.4%,21.3%,,42.4%,18.5%,39.1%,52.0%,59.2%,57.5%,,1770,1632,231,198,,6.5,6.1,49.9%,14.7,12.3,,4992.6,2,14,5,68,50,795,94,284,323,244,180,211,195,113,126,70,,0,2,0,5,14,129,7,25,35,18,4,8,1,4,7,4
S.J,21-22,San Jose Sharks,59,1628,7142,0.7,19.6,86.1,,-0.2,0.1,0.1,,49,71,429,1002,0.9,5.2,12.1,1.6%,9.9%,23.1%,,37.8%,19.1%,43.1%,46.7%,54.1%,55.8%,,1573,1793,195,209,,6.1,6.1,48.8%,12.6,12.8,,4975.7,4,5,1,47,55,574,59,231,291,202,193,196,209,93,84,65,,0,0,0,2,11,86,4,18,25,19,9,10,10,4,9,1
SEA,21-22,Seattle Kraken,49,1457,7710,0.6,17.7,93.5,,0.1,0.1,0.5,,50,112,473,1010,1.4,5.7,12.2,2.5%,10.7%,22.8%,,41.6%,18.1%,40.3%,50.8%,55.8%,58.5%,,1715,1661,207,206,,5.2,5.8,49.9%,12.2,13.7,,4949.8,2,6,5,53,35,612,53,211,254,224,229,220,180,105,105,37,,0,1,0,2,5,95,7,20,29,20,6,5,4,3,10,3
STL,21-22,St. Louis Blues,50,1435,7047,0.6,17.3,85.2,,-0.3,-0.3,-0.3,,47,134,449,968,1.6,5.4,11.7,3.1%,10.5%,22.6%,,40.4%,18.5%,41.2%,49.5%,58.0%,57.6%,,1662,1695,221,211,,6.2,6.4,47.6%,13.3,11.5,,4964.2,3,16,2,59,27,672,80,266,349,271,141,149,149,72,100,66,,0,0,0,7,9,130,5,29,61,34,7,3,4,6,7,0
T.B,21-22,Tampa Bay Lightning,99,1612,6746,1.2,19.4,81.1,,-0.1,-0.1,-0.1,,52,230,576,1038,2.8,6.9,12.5,5.0%,12.6%,22.8%,,41.6%,18.6%,39.8%,51.1%,57.5%,55.3%,,1688,1615,245,231,,6.4,6.0,49.8%,13.6,12.4,,4988.1,1,7,0,49,23,753,62,222,308,226,189,192,188,114,121,39,,0,3,0,5,5,138,7,21,48,22,4,8,1,12,7,3
TOR,21-22,Toronto Maple Leafs,99,1867,7990,1.2,22.5,96.5,,-0.0,-0.1,0.3,,50,63,461,1033,0.8,5.6,12.5,1.2%,9.1%,20.3%,,43.2%,18.3%,38.6%,52.8%,60.2%,52.4%,,1792,1601,212,201,,6.8,6.0,50.7%,15.4,11.4,,4968.5,2,9,5,68,47,836,76,328,330,223,179,202,151,136,135,43,,0,0,2,3,17,150,4,36,37,23,3,6,8,6,8,3
VAN,21-22,Vancouver Canucks,49,1524,7302,0.6,18.3,87.9,,0.1,-0.4,-0.1,,43,116,528,1140,1.4,6.4,13.7,2.4%,11.0%,23.8%,,40.5%,17.7%,41.9%,49.2%,58.9%,59.9%,,1673,1730,230,224,,6.1,6.0,50.9%,13.0,14.1,,4983.9,3,17,4,68,39,634,64,279,296,241,210,225,185,136,93,54,,0,1,0,1,14,102,3,31,37,25,6,9,5,6,3,1
VGK,21-22,Vegas Golden Knights,87,1823,7702,1.0,22.0,92.8,,0.0,0.1,-0.5,,45,106,583,1194,1.3,7.0,14.4,2.1%,11.5%,23.6%,,42.5%,19.4%,38.1%,52.7%,55.6%,58.2%,,1779,1595,199,195,,6.7,6.9,49.6%,14.6,14.0,,4979.8,5,24,3,77,69,719,79,243,279,242,200,262,230,140,106,55,,0,0,0,2,16,120,5,20,32,18,6,13,7,3,13,2
